forecast_time,city,temp,humidity,condition
2026-08-20 18:00:00,Chennai,30.45,60,Clouds
2026-08-20 21:00:00,Chennai,30.08,55,Clouds
2026-08-21 00:00:00,Chennai,29.33,55,Clouds
2026-08-21 03:00:00,Chennai,31.23,50,Clouds
2026-08-21 06:00:00,Chennai,34.23,43,Clouds
2026-08-21 09:00:00,Chennai,31.83,56,Clouds
2026-08-21 12:00:00,Chennai,30.46,65,Clouds
2026-08-21 15:00:00,Chennai,29.41,76,Clouds
2026-08-21 18:00:00,Chennai,29.44,72,Rain
2026-08-21 21:00:00,Chennai,30.3,54,Rain
2026-08-22 00:00:00,Chennai,29.08,56,Clouds
2026-08-17 03:00:00,Kolkata,26.41,91,Rain
2026-08-17 06:00:00,Kolkata,26.64,91,Rain
2026-08-17 09:00:00,Kolkata,27.84,87,Rain
2026-08-17 12:00:00,Kolkata,26.07,96,Rain
2026-08-17 15:00:00,Kolkata,26.63,91,Rain
2026-08-17 18:00:00,Kolkata,26.55,91,Rain
2026-08-17 21:00:00,Kolkata,26.49,90,Rain
2026-08-18 00:00:00,Kolkata,26.24,91,Rain
2026-08-18 03:00:00,Kolkata,28.41,80,Rain
2026-08-18 06:00:00,Kolkata,31.95,65,Rain
2026-08-18 09:00:00,Kolkata,31.37,69,Rain
2026-08-18 12:00:00,Kolkata,29.62,77,Rain
2026-08-18 15:00:00,Kolkata,27.95,84,Clouds
2026-08-18 18:00:00,Kolkata,27.47,85,Rain
2026-08-18 21:00:00,Kolkata,27.21,85,Rain
2026-08-19 00:00:00,Kolkata,26.66,89,Rain
2026-08-19 03:00:00,Kolkata,29.91,74,Clouds
2026-08-19 06:00:00,Kolkata,32.14,65,Rain
2026-08-19 09:00:00,Kolkata,32,64,Clouds
2026-08-19 12:00:00,Kolkata,29.95,73,Clouds
2026-08-19 15:00:00,Kolkata,28.39,81,Clouds
2026-08-19 18:00:00,Kolkata,27.97,83,Rain
2026-08-19 21:00:00,Kolkata,27.57,80,Rain
2026-08-20 00:00:00,Kolkata,27.4,80,Clouds
2026-08-20 03:00:00,Kolkata,29.13,71,Clouds
2026-08-20 06:00:00,Kolkata,31.98,61,Clouds
2026-08-20 09:00:00,Kolkata,32.42,63,Rain
2026-08-20 12:00:00,Kolkata,30.35,70,Rain
2026-08-20 15:00:00,Kolkata,28.31,79,Clouds
2026-08-20 18:00:00,Kolkata,27.76,86,Rain
2026-08-20 21:00:00,Kolkata,27.45,88,Clouds
2026-08-21 00:00:00,Kolkata,27.22,90,Clouds
2026-08-21 03:00:00,Kolkata,30.5,73,Rain
2026-08-21 06:00:00,Kolkata,33.01,62,Rain
2026-08-21 09:00:00,Kolkata,31.97,67,Rain
2026-08-21 12:00:00,Kolkata,29.66,77,Rain
2026-08-21 15:00:00,Kolkata,28.18,84,Clouds
2026-08-21 18:00:00,Kolkata,27.65,87,Clouds
2026-08-21 21:00:00,Kolkata,27.47,87,Clouds
2026-08-22 00:00:00,Kolkata,27.15,87,Clouds
